"TimeCreated","Id","LevelDisplayName","Message"
"2026/09/16 19:36:02","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/16 19:35:03","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/16 19:33:43","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/10 14:53:32","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/10 14:51:27","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/10 14:50:24","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/09/10 14:48:40","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/30 15:02:03","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/30 15:01:00","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/26 19:17:09","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/26 19:16:03","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/26 19:14:20","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/24 13:43:49","10002","Warning","WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
"2026/08/24 13:43:20","4003","Warning","WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
