"TimeCreated","Id","LevelDisplayName","Message"
"2026/09/20 15:44:13","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/20 15:43:51","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/19 16:07:44","20","Error","Installation Failure: Windows failed to install the following update with error 0x80240016: 9NRZT3Q9R3DL-Microsoft.WindowsAppRuntime.2."
"2026/09/19 16:03:51","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/16 18:18:45","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/09/16 18:17:27","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice."
"2026/09/16 17:47:36","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/14 14:30:14","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/14 13:59:55","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/13 14:01:07","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/09/01 21:03:36","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MSMLRH6LZF3-Microsoft.WindowsNotepad."
"2026/09/01 21:03:35","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/09/01 20:11:06","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MSMLRH6LZF3-Microsoft.WindowsNotepad."
"2026/09/01 20:10:33","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/08/31 16:34:09","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/08/31 14:47:46","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/08/31 13:56:48","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/08/31 11:19:38","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MZ95KL8MR0L-Microsoft.ScreenSketch."
"2026/08/27 15:58:57","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/08/27 15:58:56","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/08/27 13:54:41","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/08/27 13:54:40","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/08/27 10:42:02","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/08/27 10:42:02","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/08/26 21:11:55","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/08/26 21:11:54","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
"2026/08/26 20:18:19","20","Error","Installation Failure: Windows failed to install the following update with error 0x80240016: 9NKRJ3SJ9SDG-Microsoft.WindowsAppRuntime.1.8."
"2026/08/26 20:11:57","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"2026/08/26 20:02:00","20","Error","Installation Failure: Windows failed to install the following update with error 0x80240016: 9NRZT3Q9R3DL-Microsoft.WindowsAppRuntime.2."
"2026/08/26 19:58:33","20","Error","Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NKSQGP7F2NH-5319275A.WhatsAppDesktop."
